iter	Passed	Remaining
0	4	4381
1	4	2309
2	5	1664
3	5	1328
4	5	1127
5	5	985
6	6	877
7	6	797
8	6	732
9	6	682
10	7	642
11	7	608
12	7	579
13	7	554
14	8	531
15	8	514
16	8	503
17	8	487
18	9	473
19	9	462
20	9	451
21	9	440
22	10	458
23	10	446
24	11	436
25	11	438
26	11	430
27	12	422
28	12	415
29	12	409
30	12	403
31	13	400
32	13	398
33	13	396
34	14	391
35	14	386
36	14	382
37	14	377
38	15	373
39	15	369
40	15	365
41	15	363
42	16	359
43	16	356
44	16	352
45	16	350
46	17	346
47	17	343
48	17	341
49	17	338
50	18	336
51	18	333
52	18	331
53	18	330
54	19	328
55	19	326
56	19	324
57	19	322
58	20	320
59	20	318
60	20	317
61	20	315
62	21	313
63	21	311
64	21	309
65	21	308
66	22	306
67	22	304
68	22	303
69	22	301
70	22	299
71	23	298
72	23	296
73	23	295
74	23	294
75	24	294
76	24	293
77	24	292
78	24	290
79	25	289
80	25	288
81	25	287
82	25	284
83	26	283
84	26	282
85	26	281
86	26	280
87	27	280
88	27	279
89	27	278
90	27	277
91	27	276
92	28	275
93	28	274
94	28	273
95	28	272
96	29	271
97	29	270
98	29	269
99	29	268
100	30	267
101	30	266
102	30	265
103	30	265
104	30	264
105	31	263
106	31	262
107	31	261
108	31	260
109	32	260
110	32	259
111	32	258
112	32	258
113	33	257
114	33	256
115	33	256
116	33	254
117	34	254
118	34	258
119	35	258
120	35	258
121	35	256
122	35	256
123	36	255
124	36	255
125	36	254
126	36	253
127	37	252
128	37	252
129	37	251
130	37	250
131	38	250
132	38	249
133	38	248
134	38	248
135	38	247
136	39	246
137	39	246
138	39	245
139	39	244
140	40	244
141	40	243
142	40	242
143	40	242
144	40	241
145	41	241
146	41	240
147	41	240
148	41	239
149	42	238
150	42	238
151	42	237
152	42	237
153	43	236
154	43	236
155	43	235
156	43	235
157	44	234
158	44	234
159	44	233
160	44	232
161	44	232
162	45	231
163	45	231
164	45	230
165	45	230
166	46	230
167	46	229
168	46	229
169	46	228
170	47	228
171	47	227
172	47	227
173	47	226
174	48	226
175	48	226
176	48	226
177	48	225
178	49	225
179	49	225
180	49	224
181	49	224
182	50	223
183	50	223
184	50	222
185	50	222
186	51	224
187	51	224
188	52	223
189	52	223
190	52	222
191	52	222
192	53	222
193	53	221
194	53	221
195	53	220
196	54	220
197	54	219
198	54	219
199	54	218
200	54	218
201	55	217
202	55	217
203	55	217
204	55	217
205	56	217
206	56	216
207	56	216
208	57	215
209	57	215
210	57	214
211	57	214
212	57	214
213	58	213
214	58	213
215	58	212
216	58	212
217	59	212
218	59	211
219	59	211
220	59	211
221	60	210
222	60	210
223	60	210
224	60	209
225	61	209
226	61	208
227	61	208
228	61	208
229	62	207
230	62	207
231	62	206
232	62	206
233	63	206
234	63	206
235	63	205
236	63	205
237	63	204
238	64	204
239	64	204
240	64	203
241	64	203
242	65	202
243	65	202
244	65	202
245	65	201
246	66	201
247	66	201
248	66	200
249	66	200
250	67	199
251	67	199
252	67	199
253	67	198
254	67	198
255	68	198
256	68	198
257	68	197
258	69	197
259	69	197
260	69	196
261	69	196
262	69	196
263	70	195
264	70	195
265	70	195
266	70	194
267	71	194
268	71	193
269	71	193
270	71	193
271	72	193
272	72	192
273	72	192
274	72	192
275	73	191
276	73	191
277	73	191
278	73	190
279	74	190
280	74	190
281	74	189
282	74	189
283	74	189
284	75	188
285	75	188
286	75	188
287	75	187
288	76	187
289	76	187
290	76	186
291	76	186
292	77	186
293	77	185
294	77	185
295	77	185
296	78	184
297	78	184
298	78	184
299	78	183
300	79	183
301	79	183
302	79	182
303	79	182
304	79	182
305	80	182
306	80	181
307	80	181
308	81	181
309	81	180
310	81	180
311	81	180
312	81	179
313	82	179
314	82	179
315	82	178
316	82	178
317	83	178
318	83	177
319	83	177
320	83	177
321	84	176
322	84	176
323	84	176
324	84	176
325	84	175
326	85	175
327	85	175
328	85	174
329	86	174
330	86	174
331	86	174
332	86	173
333	87	173
334	88	175
335	88	175
336	89	175
337	89	175
338	90	175
339	90	176
340	91	175
341	91	175
342	91	175
343	91	175
344	92	174
345	92	174
346	92	174
347	92	174
348	93	173
349	93	173
350	93	173
351	93	172
352	94	172
353	94	172
354	94	172
355	94	171
